Gene,Non-unique Gene name,Annotation,Bvulgatus_003,Bvulgatus_002,Bvulgatus_001,Bvulgatus_007,Bvulgatus_005,Bvulgatus_004,Bvulgatus_008,Bvulgatus_006,Bvulgatus_009,Bvulgatus_010,Bvulgatus_011,Bvulgatus_012,Bvulgatus_013,Bvulgatus_015,Bvulgatus_014,Bvulgatus_016
group_2891,,hypothetical protein,HEIJGMMO_02509,GPOEIMLL_03020,IJAHANFD_03045,DILGGDIB_02455,PACOMJFE_03112,DLCGALLP_02904,BFLOPMGA_04253,FDBKJOBC_03315,NKLAJGJN_02909,FONGECLK_00942,KCGFLPLG_02982,OLJLFCEF_02951,AABBIEKD_03304,KHFKBGOE_03491,MIHLPIAK_03155,FIKBGKBO_02661
lacA,lacA,Galactoside O-acetyltransferase,HEIJGMMO_01658,GPOEIMLL_00130,IJAHANFD_02177,DILGGDIB_00683,PACOMJFE_00809,DLCGALLP_01182,BFLOPMGA_00799,FDBKJOBC_02644,NKLAJGJN_03556,FONGECLK_02117,KCGFLPLG_03544,OLJLFCEF_01782,AABBIEKD_00783,KHFKBGOE_02422,MIHLPIAK_00900,FIKBGKBO_00617
tsaC,tsaC,Threonylcarbamoyl-AMP synthase,HEIJGMMO_01628,GPOEIMLL_00199,IJAHANFD_02209,DILGGDIB_01569,PACOMJFE_01386,DLCGALLP_00973,BFLOPMGA_00759,FDBKJOBC_02733,NKLAJGJN_02139,FONGECLK_03438,KCGFLPLG_02187,OLJLFCEF_03796,AABBIEKD_00448,KHFKBGOE_02200,MIHLPIAK_01582,FIKBGKBO_01905
group_2890,,hypothetical protein,HEIJGMMO_01450,GPOEIMLL_02433,IJAHANFD_02077,DILGGDIB_01621,PACOMJFE_01211,DLCGALLP_02583,BFLOPMGA_00542,FDBKJOBC_02603,NKLAJGJN_00222,FONGECLK_00712,KCGFLPLG_00221,OLJLFCEF_02050,AABBIEKD_01417,KHFKBGOE_01657,MIHLPIAK_01406,FIKBGKBO_01191
group_2889,,hypothetical protein,HEIJGMMO_00470,GPOEIMLL_02045,IJAHANFD_00202,DILGGDIB_01115,PACOMJFE_01509,DLCGALLP_00887,BFLOPMGA_00465,FDBKJOBC_00921,NKLAJGJN_03134,FONGECLK_00139,KCGFLPLG_03229,OLJLFCEF_00406,AABBIEKD_01434,KHFKBGOE_01183,MIHLPIAK_01705,FIKBGKBO_02131
rbr,rbr,Rubrerythrin,HEIJGMMO_02806,GPOEIMLL_01400,IJAHANFD_00037,DILGGDIB_01042,PACOMJFE_01776,DLCGALLP_03796,BFLOPMGA_00355,FDBKJOBC_01218,NKLAJGJN_02004,FONGECLK_01766,KCGFLPLG_01996,OLJLFCEF_03058,AABBIEKD_01833,KHFKBGOE_01013,MIHLPIAK_02069,FIKBGKBO_01377
group_2868,,hypothetical protein,HEIJGMMO_02923,GPOEIMLL_03112,IJAHANFD_03418,DILGGDIB_02557,PACOMJFE_03876,DLCGALLP_04173,BFLOPMGA_02783,FDBKJOBC_03490,NKLAJGJN_03338,FONGECLK_01836,KCGFLPLG_03446,OLJLFCEF_03355,AABBIEKD_02909,KHFKBGOE_03316,MIHLPIAK_03729,FIKBGKBO_02700
group_2867,,dITP/XTP pyrophosphatase,HEIJGMMO_02817,GPOEIMLL_01390,IJAHANFD_00026,DILGGDIB_01053,PACOMJFE_01786,DLCGALLP_04241,BFLOPMGA_00345,FDBKJOBC_01206,NKLAJGJN_01994,FONGECLK_01756,KCGFLPLG_01986,OLJLFCEF_03068,AABBIEKD_01851,KHFKBGOE_01023,MIHLPIAK_02079,FIKBGKBO_01401
lemA,lemA,Protein LemA,HEIJGMMO_01351,GPOEIMLL_00633,IJAHANFD_00884,DILGGDIB_02201,PACOMJFE_01881,DLCGALLP_01688,BFLOPMGA_00734,FDBKJOBC_00540,NKLAJGJN_02289,FONGECLK_01581,KCGFLPLG_02220,OLJLFCEF_00686,AABBIEKD_02177,KHFKBGOE_00363,MIHLPIAK_01012,FIKBGKBO_00886
maf,maf,dTTP/UTP pyrophosphatase,HEIJGMMO_01310,GPOEIMLL_00566,IJAHANFD_00843,DILGGDIB_02232,PACOMJFE_02467,DLCGALLP_03574,BFLOPMGA_03084,FDBKJOBC_00499,NKLAJGJN_03772,FONGECLK_01635,KCGFLPLG_03739,OLJLFCEF_03605,AABBIEKD_02217,KHFKBGOE_00403,MIHLPIAK_02551,FIKBGKBO_00840
group_2866,,hypothetical protein,HEIJGMMO_01170,GPOEIMLL_00459,IJAHANFD_01860,DILGGDIB_01810,PACOMJFE_00157,DLCGALLP_01470,BFLOPMGA_02078,FDBKJOBC_01806,NKLAJGJN_02118,FONGECLK_00095,KCGFLPLG_02109,OLJLFCEF_00239,AABBIEKD_01571,KHFKBGOE_00099,MIHLPIAK_00156,FIKBGKBO_00363
group_2865,,hypothetical protein,HEIJGMMO_00929,GPOEIMLL_02139,IJAHANFD_01764,DILGGDIB_00791,PACOMJFE_00490,DLCGALLP_02158,BFLOPMGA_03173,FDBKJOBC_01405,NKLAJGJN_00615,FONGECLK_00423,KCGFLPLG_00615,OLJLFCEF_02869,AABBIEKD_00074,KHFKBGOE_02036,MIHLPIAK_00486,FIKBGKBO_00755
group_2864,,hypothetical protein,HEIJGMMO_00729,GPOEIMLL_03276,IJAHANFD_01195,DILGGDIB_01190,PACOMJFE_02391,DLCGALLP_00241,BFLOPMGA_03258,FDBKJOBC_02163,NKLAJGJN_00007,FONGECLK_03625,KCGFLPLG_00007,OLJLFCEF_01464,AABBIEKD_01229,KHFKBGOE_00586,MIHLPIAK_02475,FIKBGKBO_03210
mip_2,mip_2,Outer membrane protein MIP,HEIJGMMO_02981,GPOEIMLL_01602,IJAHANFD_01404,DILGGDIB_03417,PACOMJFE_03533,DLCGALLP_00560,BFLOPMGA_02606,FDBKJOBC_01513,NKLAJGJN_04100,FONGECLK_03125,KCGFLPLG_04101,OLJLFCEF_03538,AABBIEKD_03545,KHFKBGOE_00785,MIHLPIAK_03457,FIKBGKBO_04120
group_2856,,hypothetical protein,HEIJGMMO_02623,GPOEIMLL_01170,IJAHANFD_02367,DILGGDIB_00243,PACOMJFE_01024,DLCGALLP_00165,BFLOPMGA_03916,FDBKJOBC_02011,NKLAJGJN_01403,FONGECLK_00606,KCGFLPLG_01536,OLJLFCEF_01128,AABBIEKD_00344,KHFKBGOE_02882,MIHLPIAK_01219,FIKBGKBO_00181
rnfE,rnfE,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E,HEIJGMMO_01034,GPOEIMLL_01898,IJAHANFD_02758,DILGGDIB_01952,PACOMJFE_00688,DLCGALLP_00642,BFLOPMGA_02443,FDBKJOBC_01672,NKLAJGJN_01201,FONGECLK_02281,KCGFLPLG_01044,OLJLFCEF_02784,AABBIEKD_00591,KHFKBGOE_03155,MIHLPIAK_00641,FIKBGKBO_01844
group_2855,,hypothetical protein,HEIJGMMO_00978,GPOEIMLL_02191,IJAHANFD_01828,DILGGDIB_00737,PACOMJFE_00426,DLCGALLP_01327,BFLOPMGA_01837,FDBKJOBC_01340,NKLAJGJN_00666,FONGECLK_00369,KCGFLPLG_00666,OLJLFCEF_04247,AABBIEKD_00127,KHFKBGOE_04065,MIHLPIAK_00422,FIKBGKBO_00702
group_2854,,hypothetical protein,HEIJGMMO_00613,GPOEIMLL_02682,IJAHANFD_01250,DILGGDIB_03099,PACOMJFE_03939,DLCGALLP_00299,BFLOPMGA_01683,FDBKJOBC_02108,NKLAJGJN_03306,FONGECLK_03357,KCGFLPLG_03414,OLJLFCEF_01405,AABBIEKD_02761,KHFKBGOE_00466,MIHLPIAK_03806,FIKBGKBO_01517
flr_2,flr_2,Flavoredoxin,HEIJGMMO_03027,GPOEIMLL_02325,IJAHANFD_02912,DILGGDIB_01376,PACOMJFE_01657,DLCGALLP_02973,BFLOPMGA_02717,FDBKJOBC_02475,NKLAJGJN_01887,FONGECLK_03164,KCGFLPLG_01879,OLJLFCEF_00896,AABBIEKD_01006,KHFKBGOE_03745,MIHLPIAK_01853,FIKBGKBO_03253
group_2845,,Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase,HEIJGMMO_02356,GPOEIMLL_01350,IJAHANFD_03811,DILGGDIB_02149,PACOMJFE_02909,DLCGALLP_01924,BFLOPMGA_00314,FDBKJOBC_04081,NKLAJGJN_01964,FONGECLK_02743,KCGFLPLG_01956,OLJLFCEF_03108,AABBIEKD_03113,KHFKBGOE_01060,MIHLPIAK_02991,FIKBGKBO_01767
atpE_2,atpE_2,V-type proton ATPase subunit E,HEIJGMMO_02494,GPOEIMLL_03220,IJAHANFD_03739,DILGGDIB_03809,PACOMJFE_03271,DLCGALLP_04252,BFLOPMGA_00073,FDBKJOBC_00287,NKLAJGJN_03969,FONGECLK_03728,KCGFLPLG_03976,OLJLFCEF_03392,AABBIEKD_02708,KHFKBGOE_03653,MIHLPIAK_04111,FIKBGKBO_03960
hisH,hisH,Imidazole glycerol phosphate synthase subunit HisH,HEIJGMMO_01001,GPOEIMLL_01932,IJAHANFD_02725,DILGGDIB_01919,PACOMJFE_02840,DLCGALLP_00609,BFLOPMGA_02476,FDBKJOBC_01638,NKLAJGJN_04016,FONGECLK_02248,KCGFLPLG_04011,OLJLFCEF_02817,AABBIEKD_04144,KHFKBGOE_03189,MIHLPIAK_02811,FIKBGKBO_01878
group_2825,,hypothetical protein,HEIJGMMO_00767,GPOEIMLL_03240,IJAHANFD_01157,DILGGDIB_01340,PACOMJFE_02354,DLCGALLP_00204,BFLOPMGA_03295,FDBKJOBC_02202,NKLAJGJN_00044,FONGECLK_02673,KCGFLPLG_00044,OLJLFCEF_01505,AABBIEKD_01082,KHFKBGOE_00622,MIHLPIAK_02438,FIKBGKBO_03173
group_2824,,hypothetical protein,HEIJGMMO_00759,GPOEIMLL_03248,IJAHANFD_01165,DILGGDIB_01220,PACOMJFE_02361,DLCGALLP_00211,BFLOPMGA_03288,FDBKJOBC_02194,NKLAJGJN_00037,FONGECLK_02666,KCGFLPLG_00037,OLJLFCEF_01492,AABBIEKD_01199,KHFKBGOE_00614,MIHLPIAK_02445,FIKBGKBO_03180
ruvA,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,HEIJGMMO_02538,GPOEIMLL_03049,IJAHANFD_03074,DILGGDIB_02426,PACOMJFE_03083,DLCGALLP_02933,BFLOPMGA_03459,FDBKJOBC_03286,NKLAJGJN_02938,FONGECLK_00971,KCGFLPLG_03011,OLJLFCEF_02922,AABBIEKD_03275,KHFKBGOE_03462,MIHLPIAK_03184,FIKBGKBO_02632
group_2810,,hypothetical protein,HEIJGMMO_02173,GPOEIMLL_02857,IJAHANFD_03974,DILGGDIB_00383,PACOMJFE_00044,DLCGALLP_02189,BFLOPMGA_02545,FDBKJOBC_02964,NKLAJGJN_01479,FONGECLK_02462,KCGFLPLG_01325,OLJLFCEF_03174,AABBIEKD_03996,KHFKBGOE_02803,MIHLPIAK_00043,FIKBGKBO_02452
folE,folE,GTP cyclohydrolase 1,HEIJGMMO_01908,GPOEIMLL_02997,IJAHANFD_02515,DILGGDIB_03732,PACOMJFE_03016,DLCGALLP_01078,BFLOPMGA_02291,FDBKJOBC_02813,NKLAJGJN_02375,FONGECLK_02325,KCGFLPLG_02366,OLJLFCEF_02237,AABBIEKD_02631,KHFKBGOE_01965,MIHLPIAK_03003,FIKBGKBO_03929
group_2808,,hypothetical protein,HEIJGMMO_01233,GPOEIMLL_00498,IJAHANFD_01923,DILGGDIB_00444,PACOMJFE_00104,DLCGALLP_02251,BFLOPMGA_03779,FDBKJOBC_01869,NKLAJGJN_01598,FONGECLK_01138,KCGFLPLG_01444,OLJLFCEF_00292,AABBIEKD_01883,KHFKBGOE_00060,MIHLPIAK_00103,FIKBGKBO_00296
nqrE,nqrE,Na(+)-translocating NADH-quinone reductase subunit E,HEIJGMMO_03634,GPOEIMLL_02217,IJAHANFD_03335,DILGGDIB_01481,PACOMJFE_03199,DLCGALLP_03097,BFLOPMGA_03622,FDBKJOBC_04225,NKLAJGJN_01783,FONGECLK_03738,KCGFLPLG_01775,OLJLFCEF_03984,AABBIEKD_00908,KHFKBGOE_04133,MIHLPIAK_03211,FIKBGKBO_02429
leuD1,leuD1,3-isopropylmalate dehydratase small subunit 1,HEIJGMMO_03535,GPOEIMLL_03754,IJAHANFD_03879,DILGGDIB_03857,PACOMJFE_02561,DLCGALLP_02275,BFLOPMGA_04173,FDBKJOBC_02891,NKLAJGJN_02519,FONGECLK_03822,KCGFLPLG_02592,OLJLFCEF_04169,AABBIEKD_04208,KHFKBGOE_04319,MIHLPIAK_02645,FIKBGKBO_04105
ctc,ctc,General stress protein CTC,HEIJGMMO_02931,GPOEIMLL_03097,IJAHANFD_03408,DILGGDIB_02548,PACOMJFE_03885,DLCGALLP_04165,BFLOPMGA_02774,FDBKJOBC_03480,NKLAJGJN_03329,FONGECLK_01846,KCGFLPLG_03437,OLJLFCEF_03340,AABBIEKD_02900,KHFKBGOE_03308,MIHLPIAK_03720,FIKBGKBO_02691
coaE,coaE,Dephospho-CoA kinase,HEIJGMMO_02926,GPOEIMLL_03102,IJAHANFD_03413,DILGGDIB_02553,PACOMJFE_03880,DLCGALLP_04170,BFLOPMGA_02779,FDBKJOBC_03485,NKLAJGJN_03334,FONGECLK_01841,KCGFLPLG_03442,OLJLFCEF_03345,AABBIEKD_02905,KHFKBGOE_03313,MIHLPIAK_03725,FIKBGKBO_02696
infC,infC,Translation initiation factor IF-3,HEIJGMMO_02011,GPOEIMLL_00025,IJAHANFD_03599,DILGGDIB_00567,PACOMJFE_00924,DLCGALLP_01300,BFLOPMGA_00918,FDBKJOBC_03689,NKLAJGJN_00908,FONGECLK_01280,KCGFLPLG_00970,OLJLFCEF_03643,AABBIEKD_00897,KHFKBGOE_02164,MIHLPIAK_00786,FIKBGKBO_00510
nqo6,nqo6,NADH-quinone oxidoreductase subunit 6,HEIJGMMO_00192,GPOEIMLL_01477,IJAHANFD_00706,DILGGDIB_00886,PACOMJFE_02026,DLCGALLP_00113,BFLOPMGA_03858,FDBKJOBC_00025,NKLAJGJN_00777,FONGECLK_01417,KCGFLPLG_00786,OLJLFCEF_01544,AABBIEKD_01748,KHFKBGOE_01428,MIHLPIAK_01988,FIKBGKBO_01128
group_2799,,hypothetical protein,HEIJGMMO_03169,GPOEIMLL_03391,IJAHANFD_03573,DILGGDIB_03377,PACOMJFE_00393,DLCGALLP_01365,BFLOPMGA_01803,FDBKJOBC_03713,NKLAJGJN_02813,FONGECLK_00336,KCGFLPLG_02957,OLJLFCEF_03722,AABBIEKD_00160,KHFKBGOE_02608,MIHLPIAK_00389,FIKBGKBO_00669
group_2797,,hypothetical protein,HEIJGMMO_01263,GPOEIMLL_00527,IJAHANFD_01953,DILGGDIB_00403,PACOMJFE_00064,DLCGALLP_02214,BFLOPMGA_02565,FDBKJOBC_01899,NKLAJGJN_01512,FONGECLK_01220,KCGFLPLG_01358,OLJLFCEF_03894,AABBIEKD_01968,KHFKBGOE_01602,MIHLPIAK_00063,FIKBGKBO_00266
kdsD,kdsD,Arabinose 5-phosphate isomerase KdsD,HEIJGMMO_02667,GPOEIMLL_01268,IJAHANFD_03141,DILGGDIB_03257,PACOMJFE_03739,DLCGALLP_03950,BFLOPMGA_02927,FDBKJOBC_03232,NKLAJGJN_03655,FONGECLK_03295,KCGFLPLG_03259,OLJLFCEF_02391,AABBIEKD_03801,KHFKBGOE_01143,MIHLPIAK_03602,FIKBGKBO_01685
lysO_2,lysO_2,Lysine exporter LysO,HEIJGMMO_01958,GPOEIMLL_01673,IJAHANFD_01330,DILGGDIB_03184,PACOMJFE_02241,DLCGALLP_00485,BFLOPMGA_02889,FDBKJOBC_01587,NKLAJGJN_02422,FONGECLK_01512,KCGFLPLG_02414,OLJLFCEF_01727,AABBIEKD_02279,KHFKBGOE_00712,MIHLPIAK_02303,FIKBGKBO_01590
group_2792,,hypothetical protein,HEIJGMMO_01751,GPOEIMLL_00723,IJAHANFD_00999,DILGGDIB_02889,PACOMJFE_03166,DLCGALLP_01769,BFLOPMGA_00638,FDBKJOBC_00655,NKLAJGJN_03089,FONGECLK_02186,KCGFLPLG_03155,OLJLFCEF_00595,AABBIEKD_01309,KHFKBGOE_00264,MIHLPIAK_01103,FIKBGKBO_00978
ribE,ribE,Riboflavin synthase,HEIJGMMO_01451,GPOEIMLL_02432,IJAHANFD_02076,DILGGDIB_01620,PACOMJFE_01210,DLCGALLP_02582,BFLOPMGA_00541,FDBKJOBC_02602,NKLAJGJN_00221,FONGECLK_00713,KCGFLPLG_00220,OLJLFCEF_02051,AABBIEKD_01418,KHFKBGOE_01658,MIHLPIAK_01405,FIKBGKBO_01192
rnfA,rnfA,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A,HEIJGMMO_01033,GPOEIMLL_01899,IJAHANFD_02757,DILGGDIB_01951,PACOMJFE_00689,DLCGALLP_00641,BFLOPMGA_02444,FDBKJOBC_01671,NKLAJGJN_01200,FONGECLK_02280,KCGFLPLG_01043,OLJLFCEF_02785,AABBIEKD_00590,KHFKBGOE_03156,MIHLPIAK_00640,FIKBGKBO_01845
engB,engB,putative GTP-binding protein EngB,HEIJGMMO_00772,GPOEIMLL_03235,IJAHANFD_01152,DILGGDIB_01345,PACOMJFE_02349,DLCGALLP_00199,BFLOPMGA_03300,FDBKJOBC_02207,NKLAJGJN_00049,FONGECLK_02678,KCGFLPLG_00049,OLJLFCEF_01510,AABBIEKD_01077,KHFKBGOE_00627,MIHLPIAK_02433,FIKBGKBO_03168
yigZ,yigZ,IMPACT family member YigZ,HEIJGMMO_00642,GPOEIMLL_02714,IJAHANFD_01221,DILGGDIB_03070,PACOMJFE_02417,DLCGALLP_00269,BFLOPMGA_01713,FDBKJOBC_02137,NKLAJGJN_03277,FONGECLK_03061,KCGFLPLG_03385,OLJLFCEF_01437,AABBIEKD_02795,KHFKBGOE_00495,MIHLPIAK_02501,FIKBGKBO_01549
group_2786,,hypothetical protein,HEIJGMMO_03604,GPOEIMLL_03804,IJAHANFD_03831,DILGGDIB_03806,PACOMJFE_03522,DLCGALLP_02885,BFLOPMGA_03356,FDBKJOBC_03848,NKLAJGJN_04033,FONGECLK_02382,KCGFLPLG_04028,OLJLFCEF_04289,AABBIEKD_03105,KHFKBGOE_04300,MIHLPIAK_04126,FIKBGKBO_04063
atpD_2,atpD_2,V-type ATP synthase subunit D,HEIJGMMO_02490,GPOEIMLL_03216,IJAHANFD_03735,DILGGDIB_03813,PACOMJFE_03267,DLCGALLP_04256,BFLOPMGA_00069,FDBKJOBC_00291,NKLAJGJN_03973,FONGECLK_03724,KCGFLPLG_03972,OLJLFCEF_03396,AABBIEKD_02704,KHFKBGOE_03657,MIHLPIAK_04107,FIKBGKBO_03964
rnhB,rnhB,Ribonuclease HII,HEIJGMMO_01963,GPOEIMLL_01668,IJAHANFD_01335,DILGGDIB_03179,PACOMJFE_02246,DLCGALLP_00490,BFLOPMGA_02894,FDBKJOBC_01582,NKLAJGJN_02417,FONGECLK_01517,KCGFLPLG_02419,OLJLFCEF_01732,AABBIEKD_02274,KHFKBGOE_00717,MIHLPIAK_02308,FIKBGKBO_01585
rpsD,rpsD,30S ribosomal protein S4,HEIJGMMO_00284,GPOEIMLL_01128,IJAHANFD_00389,DILGGDIB_00085,PACOMJFE_01065,DLCGALLP_02692,BFLOPMGA_01559,FDBKJOBC_00732,NKLAJGJN_00469,FONGECLK_00545,KCGFLPLG_00363,OLJLFCEF_01291,AABBIEKD_00385,KHFKBGOE_02543,MIHLPIAK_01260,FIKBGKBO_00129
thiE_2,thiE_2,Thiamine-phosphate synthase,HEIJGMMO_02478,GPOEIMLL_03204,IJAHANFD_03723,DILGGDIB_03235,PACOMJFE_03370,DLCGALLP_03458,BFLOPMGA_00057,FDBKJOBC_00303,NKLAJGJN_03216,FONGECLK_03170,KCGFLPLG_03325,OLJLFCEF_03409,AABBIEKD_02693,KHFKBGOE_03669,MIHLPIAK_04051,FIKBGKBO_04012
group_2780,,hypothetical protein,HEIJGMMO_01727,GPOEIMLL_00072,IJAHANFD_02111,DILGGDIB_00611,PACOMJFE_00880,DLCGALLP_01256,BFLOPMGA_00873,FDBKJOBC_02710,NKLAJGJN_00955,FONGECLK_01327,KCGFLPLG_00923,OLJLFCEF_01897,AABBIEKD_00850,KHFKBGOE_02120,MIHLPIAK_00830,FIKBGKBO_00554
group_2779,,hypothetical protein,HEIJGMMO_00964,GPOEIMLL_02174,IJAHANFD_01814,DILGGDIB_00755,PACOMJFE_00445,DLCGALLP_02114,BFLOPMGA_01867,FDBKJOBC_01354,NKLAJGJN_00648,FONGECLK_00387,KCGFLPLG_00648,OLJLFCEF_03959,AABBIEKD_00110,KHFKBGOE_04048,MIHLPIAK_00441,FIKBGKBO_00719
pinR,pinR,Serine recombinase PinR,HEIJGMMO_03692,GPOEIMLL_03850,IJAHANFD_00043,DILGGDIB_01035,PACOMJFE_01769,DLCGALLP_03802,BFLOPMGA_00361,FDBKJOBC_01225,NKLAJGJN_04144,FONGECLK_01773,KCGFLPLG_04137,OLJLFCEF_00507,AABBIEKD_01827,KHFKBGOE_01006,MIHLPIAK_02062,FIKBGKBO_01371
udk_2,udk_2,Uridine kinase,HEIJGMMO_03368,GPOEIMLL_00370,IJAHANFD_03954,DILGGDIB_01891,PACOMJFE_00232,DLCGALLP_01543,BFLOPMGA_04105,FDBKJOBC_00367,NKLAJGJN_02028,FONGECLK_00022,KCGFLPLG_02019,OLJLFCEF_00153,AABBIEKD_01647,KHFKBGOE_00179,MIHLPIAK_00231,FIKBGKBO_00458
group_2772,,hypothetical protein,HEIJGMMO_03103,GPOEIMLL_00406,IJAHANFD_03506,DILGGDIB_01862,PACOMJFE_00209,DLCGALLP_01522,BFLOPMGA_02134,FDBKJOBC_03633,NKLAJGJN_02066,FONGECLK_00043,KCGFLPLG_02057,OLJLFCEF_00186,AABBIEKD_01624,KHFKBGOE_00150,MIHLPIAK_00208,FIKBGKBO_00415
group_2771,,hypothetical protein,HEIJGMMO_02406,GPOEIMLL_01300,IJAHANFD_03477,DILGGDIB_02099,PACOMJFE_02859,DLCGALLP_01817,BFLOPMGA_02960,FDBKJOBC_03586,NKLAJGJN_01915,FONGECLK_03544,KCGFLPLG_01907,OLJLFCEF_02359,AABBIEKD_03162,KHFKBGOE_01110,MIHLPIAK_02941,FIKBGKBO_01718
hisI,hisI,Histidine biosynthesis bifunctional protein HisIE,HEIJGMMO_01004,GPOEIMLL_01929,IJAHANFD_02728,DILGGDIB_01922,PACOMJFE_02843,DLCGALLP_00612,BFLOPMGA_02473,FDBKJOBC_01641,NKLAJGJN_04019,FONGECLK_02251,KCGFLPLG_04014,OLJLFCEF_02814,AABBIEKD_04141,KHFKBGOE_03186,MIHLPIAK_02808,FIKBGKBO_01875
pgdA,pgdA,Peptidoglycan-N-acetylglucosamine deacetylase,HEIJGMMO_00550,GPOEIMLL_02774,IJAHANFD_00076,DILGGDIB_01013,PACOMJFE_01740,DLCGALLP_03825,BFLOPMGA_00384,FDBKJOBC_01252,NKLAJGJN_02695,FONGECLK_01799,KCGFLPLG_02768,OLJLFCEF_00484,AABBIEKD_01803,KHFKBGOE_02924,MIHLPIAK_02033,FIKBGKBO_01343
group_2761,,hypothetical protein,HEIJGMMO_03380,GPOEIMLL_00358,IJAHANFD_00733,DILGGDIB_01903,PACOMJFE_00244,DLCGALLP_04200,BFLOPMGA_04117,FDBKJOBC_00379,NKLAJGJN_02016,FONGECLK_00010,KCGFLPLG_02007,OLJLFCEF_00141,AABBIEKD_01659,KHFKBGOE_00191,MIHLPIAK_00243,FIKBGKBO_04082
ribB,ribB,34-dihydroxy-2-butanone 4-phosphate synthase,HEIJGMMO_03153,GPOEIMLL_03412,IJAHANFD_03557,DILGGDIB_03361,PACOMJFE_00409,DLCGALLP_01344,BFLOPMGA_01820,FDBKJOBC_03729,NKLAJGJN_00694,FONGECLK_00352,KCGFLPLG_00694,OLJLFCEF_03701,AABBIEKD_00144,KHFKBGOE_02592,MIHLPIAK_00405,FIKBGKBO_00685
cysC,cysC,putative adenylyl-sulfate kinase,HEIJGMMO_03070,GPOEIMLL_00836,IJAHANFD_00418,DILGGDIB_02700,PACOMJFE_00362,DLCGALLP_01387,BFLOPMGA_01772,FDBKJOBC_03356,NKLAJGJN_02846,FONGECLK_00303,KCGFLPLG_02924,OLJLFCEF_03298,AABBIEKD_00192,KHFKBGOE_02639,MIHLPIAK_00361,FIKBGKBO_03145
group_2760,,hypothetical protein,HEIJGMMO_03036,GPOEIMLL_02334,IJAHANFD_02921,DILGGDIB_01367,PACOMJFE_01648,DLCGALLP_02982,BFLOPMGA_02726,FDBKJOBC_02466,NKLAJGJN_01896,FONGECLK_03155,KCGFLPLG_01888,OLJLFCEF_00905,AABBIEKD_01015,KHFKBGOE_03754,MIHLPIAK_01844,FIKBGKBO_03262
group_2759,,D-ribitol-5-phosphate phosphatase,HEIJGMMO_02636,GPOEIMLL_01754,IJAHANFD_03110,DILGGDIB_03488,PACOMJFE_02179,DLCGALLP_00408,BFLOPMGA_04017,FDBKJOBC_04050,NKLAJGJN_03676,FONGECLK_01452,KCGFLPLG_03682,OLJLFCEF_01650,AABBIEKD_02340,KHFKBGOE_04038,MIHLPIAK_02241,FIKBGKBO_01655
yciO,yciO,putative protein YciO,HEIJGMMO_00154,GPOEIMLL_00872,IJAHANFD_00459,DILGGDIB_03827,PACOMJFE_03285,DLCGALLP_03862,BFLOPMGA_00089,FDBKJOBC_00273,NKLAJGJN_04121,FONGECLK_00918,KCGFLPLG_04114,OLJLFCEF_00989,AABBIEKD_02722,KHFKBGOE_02656,MIHLPIAK_02405,FIKBGKBO_04074
ycgM,ycgM,putative protein YcgM,HEIJGMMO_02517,GPOEIMLL_03028,IJAHANFD_03053,DILGGDIB_02447,PACOMJFE_03104,DLCGALLP_02912,BFLOPMGA_03438,FDBKJOBC_03307,NKLAJGJN_02917,FONGECLK_00950,KCGFLPLG_02990,OLJLFCEF_02943,AABBIEKD_03296,KHFKBGOE_03483,MIHLPIAK_03163,FIKBGKBO_02653
sodB,sodB,Superoxide dismutase [Mn/Fe],HEIJGMMO_02467,GPOEIMLL_03193,IJAHANFD_03712,DILGGDIB_03224,PACOMJFE_03359,DLCGALLP_03447,BFLOPMGA_00046,FDBKJOBC_00314,NKLAJGJN_03226,FONGECLK_03181,KCGFLPLG_03335,OLJLFCEF_03420,AABBIEKD_02682,KHFKBGOE_03680,MIHLPIAK_04062,FIKBGKBO_04002
recR,recR,Recombination protein RecR,HEIJGMMO_00770,GPOEIMLL_03237,IJAHANFD_01154,DILGGDIB_01343,PACOMJFE_02351,DLCGALLP_00201,BFLOPMGA_03298,FDBKJOBC_02205,NKLAJGJN_00047,FONGECLK_02676,KCGFLPLG_00047,OLJLFCEF_01508,AABBIEKD_01079,KHFKBGOE_00625,MIHLPIAK_02435,FIKBGKBO_03170
rplC,rplC,50S ribosomal protein L3,HEIJGMMO_00310,GPOEIMLL_01102,IJAHANFD_00363,DILGGDIB_00059,PACOMJFE_01091,DLCGALLP_02666,BFLOPMGA_01533,FDBKJOBC_00758,NKLAJGJN_00443,FONGECLK_00519,KCGFLPLG_00389,OLJLFCEF_01265,AABBIEKD_00411,KHFKBGOE_02517,MIHLPIAK_01286,FIKBGKBO_00103
grpE,grpE,Protein GrpE,HEIJGMMO_03109,GPOEIMLL_00412,IJAHANFD_03512,DILGGDIB_01856,PACOMJFE_00203,DLCGALLP_01516,BFLOPMGA_02128,FDBKJOBC_03639,NKLAJGJN_02072,FONGECLK_00049,KCGFLPLG_02063,OLJLFCEF_00192,AABBIEKD_01617,KHFKBGOE_00144,MIHLPIAK_00202,FIKBGKBO_00409
